title,season,episode_number,air_date,month,year,colors,subjects,image_link,youtube_link,notes
Winter Glow,1,11,1983-03-15,March,1983,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","DECIDUOUS, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting292.png,https://www.youtube.com/embed/Q03YvknOVe0,
Snowfall,1,12,1983-03-22,March,1983,"Alizarin Crimson, Prussian Blue, Titanium White, Van Dyke Brown","CIRRUS, CLOUDS, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting293.png,https://www.youtube.com/embed/4E35-8x_y04,
Final Reflections,1,13,1983-03-29,March,1983,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","BUSHES, CONIFER, DECIDUOUS, GRASS, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting294.png,https://www.youtube.com/embed/IEQWfszfRlA,
Meadow Lake,2,1,1983-08-31,August,1983,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CONIFER, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting269.png,https://www.youtube.com/embed/GARWowi0QXI,
Winter Sun,2,2,1983-09-07,September,1983,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, LAKE, SNOW, SUN, TREE, TREES",https://www.twoinchbrush.com/images/painting270.png,https://www.youtube.com/embed/VPfYRj4DDco,
Ebony Sea,2,3,1983-09-14,September,1983,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CUMULUS, DECIDUOUS, OCEAN, SUN, TREE, TREES, WAVES",https://www.twoinchbrush.com/images/painting271.png,https://www.youtube.com/embed/aOJsKNzO3i8,
Shades of Gray,2,4,1983-09-21,September,1983,"Prussian Blue, Titanium White, Van Dyke Brown","BUSHES, CABIN, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting272.png,https://www.youtube.com/embed/I-ousb8-SD0,
Autumn Splendor,2,5,1983-09-28,September,1983,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, GRASS, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting273.png,https://www.youtube.com/embed/rTTWw5Gd79I,
Black River,2,6,1983-10-05,October,1983,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GRASS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting274.png,https://www.youtube.com/embed/6O4sfJd8G_M,
Brown Mountain,2,7,1983-10-12,October,1983,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, CUMULUS, GRASS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",https://www.twoinchbrush.com/images/painting275.png,https://www.youtube.com/embed/Vx6v47gHBWM,
Reflections,2,8,1983-10-19,October,1983,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CIRRUS, CLOUDS, CONIFER, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting276.png,https://www.youtube.com/embed/0FYfo94qefg,
Black & White Seascape,2,9,1983-10-26,October,1983,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS, CUMULUS, DECIDUOUS, OCEAN, ROCKS, SUN, TREE, TREES, WAVES",https://www.twoinchbrush.com/images/painting277.png,https://www.youtube.com/embed/PMDyPrE0puo,
Lazy River,2,10,1983-11-02,November,1983,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, GRASS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting278.png,https://www.youtube.com/embed/BW2wKKFvH1g,
Black Waterfall,2,11,1983-11-09,November,1983,"Alizarin Crimson, Black Gesso, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES, WATERFALL",https://www.twoinchbrush.com/images/painting279.png,https://www.youtube.com/embed/GzSqjyQUPZQ,
Mountain Waterfall,2,12,1983-11-16,November,1983,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, GRASS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",https://www.twoinchbrush.com/images/painting280.png,https://www.youtube.com/embed/9jIt95PCFAA,
Final Grace,2,13,1983-11-23,November,1983,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting281.png,https://www.youtube.com/embed/miJ19Kz_i3Y,
Mountain Retreat,3,1,1984-01-04,January,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CABIN, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting256.png,https://www.youtube.com/embed/hoimk4s8JoQ,
Blue Moon,3,2,1984-01-11,January,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CUMULUS, MOON, NIGHT, OCEAN, PALM_TREES, TREE, TREES, WAVES",https://www.twoinchbrush.com/images/painting257.png,https://www.youtube.com/embed/loit61vLUMc,
Bubbling Stream,3,3,1984-01-18,January,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting258.png,https://www.youtube.com/embed/fuFalEXVN0k,
Winter Night,3,4,1984-01-25,January,1984,"Alizarin Crimson, Bright Red, Cadmium Yellow, Liquid Black, Phthalo Green, Titanium White, Van Dyke Brown","CABIN, CONIFER, SNOW, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting259.png,https://www.youtube.com/embed/8ysFkNYwhAE,
Distant Hills,3,5,1984-02-01,February,1984,"Alizarin Crimson, Burnt Umber, Cadmium Yellow, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS, CLOUDS, CONIFER, DECIDUOUS, HILLS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",https://www.twoinchbrush.com/images/painting260.png,https://www.youtube.com/embed/8Zge88tVwjE,
Covered Bridge,3,6,1984-02-08,February,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BRIDGE, DECIDUOUS, PATH, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting261.png,https://www.youtube.com/embed/OHSm8kLE7js,
Quiet Inlet,3,7,1984-02-15,February,1984,"Alizarin Crimson, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",https://www.twoinchbrush.com/images/painting262.png,https://www.youtube.com/embed/9N5IWKzYIyU,
Night Light,3,8,1984-02-22,February,1984,"Alizarin Crimson, Black Gesso, Burnt Umber, Cadmium Yellow, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLIFF, CLOUDS, CUMULUS, LIGHTHOUSE, NIGHT, OCEAN, STRUCTURE, WAVES",https://www.twoinchbrush.com/images/painting263.png,https://www.youtube.com/embed/l141Y0x8om0,
The Old Mill,3,9,1984-03-01,March,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CABIN, CLOUDS, CUMULUS, DECIDUOUS, MILL, RIVER, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting264.png,https://www.youtube.com/embed/OFKFUJ9eDNs,
Campfire,3,10,1984-03-08,March,1984,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, FIRE, LAKE, PERSON, TREE, TREES",https://www.twoinchbrush.com/images/painting265.png,https://www.youtube.com/embed/L5bXkI0-pEg,
Rustic Barn,3,11,1984-03-15,March,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BARN, DECIDUOUS, FENCE, LAKE, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting266.png,https://www.youtube.com/embed/WJJwrnFhUUg,
Hidden Lake,3,12,1984-03-22,March,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",https://www.twoinchbrush.com/images/painting267.png,https://www.youtube.com/embed/P_DaqkFbnac,
Peaceful Waters,3,13,1984-03-29,March,1984,"Alizarin Crimson, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GUEST, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES",https://www.twoinchbrush.com/images/painting268.png,https://www.youtube.com/embed/Z0vtjRLqXcQ,
Purple Splendor,4,1,1984-09-05,September,1984,"Alizarin Crimson, Phthalo Blue, Titanium White, Van Dyke Brown","CABIN, CONIFER, LAKE, SNOW, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting243.png,https://www.youtube.com/embed/hP4GfMgsNVE,
Tranquil Valley,4,2,1984-09-12,September,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",https://www.twoinchbrush.com/images/painting244.png,https://www.youtube.com/embed/PbchoOWWCZs,
Majestic Mountains,4,3,1984-09-19,September,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CONIFER, GRASS, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting245.png,https://www.youtube.com/embed/NcVeRlPu_5w,
Winter Sawscape,4,4,1984-09-26,September,1984,"Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Midnight Black, Prussian Blue, Titanium White","CABIN, CIRCLE_FRAME, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, FRAMED, GUEST, LAKE, SNOW, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting246.png,https://www.youtube.com/embed/lmKAwKrONmE,
Evening Seascape,4,5,1984-10-03,October,1984,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown","BEACH, CLIFF, CLOUDS, CONIFER, CUMULUS, OCEAN, ROCKS, TREE, TREES, WAVES",https://www.twoinchbrush.com/images/painting247.png,https://www.youtube.com/embed/y5k4GXw_-yI,
Warm Summer Day,4,6,1984-10-10,October,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting248.png,https://www.youtube.com/embed/GBN9AIw3Ao4,
Cabin in the Woods,4,7,1984-10-17,October,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, DECIDUOUS, GRASS, PATH, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting249.png,https://www.youtube.com/embed/81QKellPA70,
Wetlands,4,8,1984-10-24,October,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, DECIDUOUS, GRASS, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting250.png,https://www.youtube.com/embed/2FpVyGanPwM,
Cool Waters,4,9,1984-10-31,October,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting251.png,https://www.youtube.com/embed/tJRvBcqQd5A,
Quiet Woods,4,10,1984-11-07,November,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CONIFER, GRASS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting252.png,https://www.youtube.com/embed/wIZX57I4aDs,
Northwest Majesty,4,11,1984-11-14,November,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Liquid Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","CLOUDS, CONIFER, CUMULUS, DIANE_ANDRE, GUEST, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting253.png,https://www.youtube.com/embed/9DU6bunvD_g,
Autumn Days,4,12,1984-11-21,November,1984,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, GRASS, HILLS, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting254.png,https://www.youtube.com/embed/VAdMkf-AAPM,
Mountain Challenge,4,13,1984-11-28,November,1984,"Alizarin Crimson, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE",https://www.twoinchbrush.com/images/painting255.png,https://www.youtube.com/embed/o2cjLA_wgIk,
Mountain Waterfall,5,1,1985-01-02,January,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",https://www.twoinchbrush.com/images/painting230.png,https://www.youtube.com/embed/DqhzxdkdQS0,
Twilight Meadow,5,2,1985-01-09,January,1985,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CUMULUS, DECIDUOUS, GRASS, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting231.png,https://www.youtube.com/embed/6evqNlOO7Bw,
Mountain Blossoms,5,3,1985-01-16,January,1985,"Alizarin Crimson, Liquid Black, Phthalo Blue, Phthalo Green, Titanium White","CONIFER, FLOWERS, GUEST, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting232.png,https://www.youtube.com/embed/UVhhStJAJZc,
Winter Stillness,5,4,1985-01-23,January,1985,"Alizarin Crimson, Burnt Umber, Indian Yellow, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown","CONIFER, DECIDUOUS, LAKE, SNOW, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting233.png,https://www.youtube.com/embed/qg9c1SqdRko,
Quiet Pond,5,5,1985-01-30,January,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, GRASS, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting234.png,https://www.youtube.com/embed/aiK9xOIJtV8,
Ocean Sunrise,5,6,1985-02-06,February,1985,"Alizarin Crimson, Indian Yellow, Liquid Black, Prussian Blue, Titanium White, Van Dyke Brown","CLOUDS, GRASS, GUEST, OCEAN, SUN",https://www.twoinchbrush.com/images/painting235.png,https://www.youtube.com/embed/u0Bz6TNUK1Q,Special guest Audrey Golden
Bubbling Brook,5,7,1985-02-13,February,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting236.png,https://www.youtube.com/embed/LiKCzeqn-kg,
Arizona Splendor,5,8,1985-02-20,February,1985,"Alizarin Crimson, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting237.png,https://www.youtube.com/embed/spFwCh2616s,
Anatomy of a Wave,5,9,1985-02-27,February,1985,"Alizarin Crimson, Cadmium Yellow, Liquid Clear, Phthalo Blue, Phthalo Green, Titanium White","GUEST, OCEAN, WAVES",https://www.twoinchbrush.com/images/painting238.png,https://www.youtube.com/embed/DFQlu6eqrBo,Special guest Joyce Ortner
The Windmill,5,10,1985-03-06,March,1985,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BARN, CLOUDS, DECIDUOUS, PATH, STRUCTURE, TREE, WINDMILL",https://www.twoinchbrush.com/images/painting239.png,https://www.youtube.com/embed/xj8xsTSkbUk,
Autumn Glory,5,11,1985-03-13,March,1985,"Alizarin Crimson, Burnt Umber, Cadmium Yellow, Indian Yellow, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, ROCKS, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting240.png,https://www.youtube.com/embed/yTzlm_t0RmY,
Indian Girl,5,12,1985-03-20,March,1985,"Bright Red, Burnt Umber, Indian Yellow, Prussian Blue, Titanium White","GUEST, PORTRAIT",https://www.twoinchbrush.com/images/painting241.png,https://www.youtube.com/embed/2uXMx8Kjs8I,
Meadow Stream,5,13,1985-03-27,March,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BARN, CLOUDS, DECIDUOUS, GRASS, RIVER, ROCKS, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting242.png,https://www.youtube.com/embed/87MMbN1bQCs,
Blue River,6,1,1985-05-01,May,1985,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CONIFER, DECIDUOUS, GRASS, HILLS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting217.png,https://www.youtube.com/embed/LygUyAb78oY,
Nature's Edge,6,2,1985-05-08,May,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CABIN, CLOUDS, DECIDUOUS, FOG, GRASS, LAKE, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting218.png,https://www.youtube.com/embed/Bcqyzo85A1o,
Morning Mist,6,3,1985-05-15,May,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, FOG, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting219.png,https://www.youtube.com/embed/wbZreRaE74k,
Whispering Stream,6,4,1985-05-22,May,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting220.png,https://www.youtube.com/embed/QglIjlqsUdU,
Secluded Forest,6,5,1985-05-29,May,1985,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting221.png,https://www.youtube.com/embed/USkduOfwJok,
